Detail,punter,punt_distance,returner,return_distance,tackler,penalized_player,downer,blocker,recoverer,end_location,play_outcome,unprocessed
Jordan Berry punts 59 yards returned by Richie James for 11 yards (tackle by Olasunkanmi Adeniyi),Jordan Berry,59.0,Richie James,11.0,Olasunkanmi Adeniyi,,,,,,,yards  yards (
Rigoberto Sanchez punts 53 yards returned by Kenjon Barner for 10 yards (tackle by Ryan Lewis). Penalty on Blidi Wreh-Wilson: Illegal Blindside Block 15 yards,Rigoberto Sanchez,53.0,Kenjon Barner,10.0,Ryan Lewis,Blidi Wreh-Wilson,,,,,,yards  yards (.  Illegal Blindside Block 15 yards
Lac Edwards punts 51 yards returned by Gunner Olszewski for 7 yards (tackle by Frankie Luvu),Lac Edwards,51.0,Gunner Olszewski,7.0,Frankie Luvu,,,,,,,yards  yards (
Michael Dickson punts 39 yards muffed catch by Deonte Harris recovered by Cody Barton at NO-33 (tackle by Deonte Harris) Penalty on SEA: Unsportsmanlike Conduct 15 yards,Michael Dickson,39.0,,,Deonte Harris,SEA,,,,NO-33 (  Unsportsmanlike Conduct 15 yards,,yards muffed catch by Deonte Harris recovered by Cody Barton
Sam Martin punts 36 yards returned by Darren Sproles for 2 yards (tackle by Tavon Wilson and Jalen Reeves-Maybin),Sam Martin,36.0,Darren Sproles,2.0,Tavon Wilson and Jalen Reeves-Maybin,,,,,,,yards  yards (
Bradley Pinion punts 49 yards touchback.,Bradley Pinion,49.0,,,,,,,,,touchback,yards .
Mitch Wishnowsky punts 52 yards fair catch by Ryan Switzer at PIT-18,Mitch Wishnowsky,52.0,Ryan Switzer,,,,,,,PIT-18,,yards
JK Scott punts 66 yards returned by Diontae Spencer for 3 yards (tackle by Ty Summers). Penalty on Davontae Harris: Illegal Block Above the Waist 2 yards,JK Scott,66.0,Diontae Spencer,3.0,Ty Summers,Davontae Harris,,,,,,yards  yards (.  Illegal Block Above the Waist 2 yards
Matt Haack punts 62 yards returned by Cedrick Wilson for 13 yards (tackle by Durham Smythe and Samuel Eguavoen),Matt Haack,62.0,Cedrick Wilson,13.0,Durham Smythe and Samuel Eguavoen,,,,,,,yards  yards (
Sam Koch punts 52 yards touchback.,Sam Koch,52.0,,,,,,,,,touchback,yards .
Kevin Huber punts 41 yards returned by Andre Roberts for no gain (tackle by Preston Brown). Penalty on Maurice Alexander: Offensive Holding 8 yards,Kevin Huber,41.0,Andre Roberts,0.0,Preston Brown,Maurice Alexander,,,,,,yards  (.  Offensive Holding 8 yards
Bradley Pinion punts 49 yards muffed catch by T.J. Jones recovered by T.J. Jones at NYG-26 returned by T.J. Jones for 13 yards (tackle by Dare Ogunbowale),Bradley Pinion,49.0,T.J. Jones,13.0,Dare Ogunbowale,,,,,NYG-26  yards (,,yards muffed catch by T.J. Jones recovered by T.J. Jones
