Detail,punter,punt_distance,returner,return_distance,tackler,penalized_player,downer,blocker,recoverer,end_location,play_outcome,unprocessed
Mitch Wishnowsky punts 46 yards fair catch by Braxton Berrios at NYJ-10,Mitch Wishnowsky,46.0,Braxton Berrios,,,,,,,NYJ-10,,yards
Bradley Pinion punts 49 yards muffed catch by Pharoh Cooper,Bradley Pinion,49.0,,,,,,,,,,yards muffed catch by Pharoh Cooper
Braden Mann punts 46 yards fair catch by Dante Pettis at SF-38,Braden Mann,46.0,Dante Pettis,,,,,,,SF-38,,yards
Mitch Wishnowsky punts 59 yards touchback.,Mitch Wishnowsky,59.0,,,,,,,,,touchback,yards .
Sam Martin aborted snap recovered by Sam Martin at DEN--2 and returned for -12 yards safety.,,,,,,,,,,DEN--2 and returned for -12 yards safety.,,Sam Martin aborted snap recovered by Sam Martin
Brett Kern punts 31 yards fair catch by Chris Claybrooks at JAC-11,Brett Kern,31.0,Chris Claybrooks,,,,,,,JAC-11,,yards
Andy Lee punts 38 yards fair catch by Steven Sims at WAS-22,Andy Lee,38.0,Steven Sims,,,,,,,WAS-22,,yards
Matt Haack punts 40 yards fair catch by Andre Roberts at BUF-29,Matt Haack,40.0,Andre Roberts,,,,,,,BUF-29,,yards
Jack Fox punts 67 yards returned by Josh Jackson for 6 yards (tackle by Christian Jones),Jack Fox,67.0,Josh Jackson,6.0,Christian Jones,,,,,,,yards  yards (
Logan Cooke punts 35 yards out of bounds,Logan Cooke,35.0,,,,,,,,,out of bounds,yards
Darian Thompson up the middle for 3 yards (tackle by John Cominsky),,,,,John Cominsky,,,,,,,Darian Thompson up the middle for 3 yards (
Bryan Anger punts 57 yards returned by James Proche for 8 yards (tackle by Michael Thomas),Bryan Anger,57.0,James Proche,8.0,Michael Thomas,,,,,,,yards  yards (
JK Scott punts 54 yards out of bounds,JK Scott,54.0,,,,,,,,,out of bounds,yards
Michael Dickson punts 50 yards fair catch by Damiere Byrd at NE-19,Michael Dickson,50.0,Damiere Byrd,,,,,,,NE-19,,yards
Dustin Colquitt punts 42 yards fair catch by Diontae Spencer at DEN-18,Dustin Colquitt,42.0,Diontae Spencer,,,,,,,DEN-18,,yards
Ty Long punts 61 yards returned by Mecole Hardman for 16 yards (tackle by Stephen Anderson),Ty Long,61.0,Mecole Hardman,16.0,Stephen Anderson,,,,,,,yards  yards (
Sterling Hofrichter punts 42 yards returned by CeeDee Lamb for 3 yards (tackle by Luke Stocker),Sterling Hofrichter,42.0,CeeDee Lamb,3.0,Luke Stocker,,,,,,,yards  yards (
Kevin Huber punts 50 yards returned by Jojo Natson for 13 yards (tackle by Jordan Evans and Cethan Carter),Kevin Huber,50.0,Jojo Natson,13.0,Jordan Evans and Cethan Carter,,,,,,,yards  yards (
Jamie Gillan punts 43 yards fair catch by Alex Erickson at CIN-23. Penalty on Akeem Davis-Gaither: Illegal Block Above the Waist 10 yards,Jamie Gillan,43.0,Alex Erickson,,,,,,,CIN-23. Penalty on Akeem Davis-Gaither: Illegal Block Above the Waist 10 yards,,yards
Kevin Huber punts 48 yards downed by Tony Brown,Kevin Huber,48.0,,,,,Tony Brown,,,,,yards
Riley Dixon punts 35 yards muffed catch by Diontae Johnson recovered by Devante Downs at PIT-3,Riley Dixon,35.0,,,,,,,,PIT-3,,yards muffed catch by Diontae Johnson recovered by Devante Downs
Brett Kern punts 41 yards fair catch by Diontae Spencer at DEN-11,Brett Kern,41.0,Diontae Spencer,,,,,,,DEN-11,,yards
Sam Martin punts 51 yards returned by Kalif Raymond for 11 yards (tackle by Derrek Tuszka). Penalty on Amani Hooker: Offensive Holding 10 yards,Sam Martin,51.0,Kalif Raymond,11.0,Derrek Tuszka,Amani Hooker,,,,,,yards  yards (.  Offensive Holding 10 yards
Dustin Colquitt punts 39 yards returned by Jabrill Peppers for 8 yards (tackle by Derek Watt),Dustin Colquitt,39.0,Jabrill Peppers,8.0,Derek Watt,,,,,,,yards  yards (
Riley Dixon punts 41 yards fair catch by Diontae Johnson at PIT-18,Riley Dixon,41.0,Diontae Johnson,,,,,,,PIT-18,,yards
Brett Kern punts 66 yards returned by Diontae Spencer for 9 yards (tackle by Amani Hooker). Penalty on P.J. Locke: Illegal Block Above the Waist 6 yards,Brett Kern,66.0,Diontae Spencer,9.0,Amani Hooker,P.J. Locke,,,,,,yards  yards (.  Illegal Block Above the Waist 6 yards
Dustin Colquitt punts 59 yards returned by Jabrill Peppers for 20 yards (tackle by Kameron Canaday),Dustin Colquitt,59.0,Jabrill Peppers,20.0,Kameron Canaday,,,,,,,yards  yards (
Riley Dixon punts 32 yards returned by Diontae Johnson for 1 yard (tackle by Eric Tomlinson),Riley Dixon,32.0,Diontae Johnson,1.0,Eric Tomlinson,,,,,,,yards  yard (
Dustin Colquitt punts 50 yards returned by Jabrill Peppers for 11 yards (tackle by Robert Spillane and Derek Watt),Dustin Colquitt,50.0,Jabrill Peppers,11.0,Robert Spillane and Derek Watt,,,,,,,yards  yards (
Riley Dixon punts 32 yards downed by Casey Kreiter,Riley Dixon,32.0,,,,,Casey Kreiter,,,,,yards
Dustin Colquitt punts 35 yards fair catch by Jabrill Peppers at NYG-9,Dustin Colquitt,35.0,Jabrill Peppers,,,,,,,NYG-9,,yards
Sam Martin punts 56 yards returned by Kalif Raymond for 9 yards (tackle by Trey Marshall),Sam Martin,56.0,Kalif Raymond,9.0,Trey Marshall,,,,,,,yards  yards (
Sam Martin punts 53 yards returned by Kalif Raymond for -1 yards (tackle by Malik Reed),Sam Martin,53.0,Kalif Raymond,-1.0,Malik Reed,,,,,,,yards  yards (
Riley Dixon punts 53 yards returned by Diontae Johnson for 12 yards (tackle by Devante Downs),Riley Dixon,53.0,Diontae Johnson,12.0,Devante Downs,,,,,,,yards  yards (
Brett Kern punts 50 yards out of bounds,Brett Kern,50.0,,,,,,,,,out of bounds,yards
Sam Martin punts 52 yards out of bounds,Sam Martin,52.0,,,,,,,,,out of bounds,yards
Brett Kern punts 47 yards returned by Diontae Spencer for 7 yards (tackle by Senorise Perry),Brett Kern,47.0,Diontae Spencer,7.0,Senorise Perry,,,,,,,yards  yards (
Sam Martin punts 32 yards fair catch by Kalif Raymond at TEN-10,Sam Martin,32.0,Kalif Raymond,,,,,,,TEN-10,,yards
Pat O'Donnell punts 45 yards fair catch by Jamal Agnew at DET-21,Pat O'Donnell,45.0,Jamal Agnew,,,,,,,DET-21,,yards
Kevin Huber punts 70 yards touchback.,Kevin Huber,70.0,,,,,,,,,touchback,yards .
Matt Haack punts 45 yards muffed catch by Damiere Byrd recovered by Damiere Byrd at NE-20,Matt Haack,45.0,,,,,,,,NE-20,,yards muffed catch by Damiere Byrd recovered by Damiere Byrd
Tress Way punts 40 yards muffed catch by Jalen Reagor recovered by Jalen Reagor at PHI-38,Tress Way,40.0,,,,,,,,PHI-38,,yards muffed catch by Jalen Reagor recovered by Jalen Reagor
AJ Cole punts 52 yards returned by Pharoh Cooper for 19 yards (tackle by Isaiah Johnson),AJ Cole,52.0,Pharoh Cooper,19.0,Isaiah Johnson,,,,,,,yards  yards (
Braden Mann punts 58 yards returned by Andre Roberts for 16 yards (tackle by Ryan Griffin and Blake Cashman),Braden Mann,58.0,Andre Roberts,16.0,Ryan Griffin and Blake Cashman,,,,,,,yards  yards (
Jack Fox punts 53 yards returned by Tarik Cohen for no gain (tackle by Tony McRae),Jack Fox,53.0,Tarik Cohen,0.0,Tony McRae,,,,,,,yards  (
Thomas Morstead punts 39 yards fair catch by Jaydon Mickens at TB-15,Thomas Morstead,39.0,Jaydon Mickens,,,,,,,TB-15,,yards
Ty Long punts 42 yards out of bounds,Ty Long,42.0,,,,,,,,,out of bounds,yards
Jake Bailey punts 40 yards downed by Cody Davis,Jake Bailey,40.0,,,,,Cody Davis,,,,,yards
Braden Mann punts 45 yards returned by Andre Roberts for 10 yards (tackle by Ashtyn Davis and Ryan Griffin),Braden Mann,45.0,Andre Roberts,10.0,Ashtyn Davis and Ryan Griffin,,,,,,,yards  yards (
Andy Lee punts 53 yards returned by Trent Taylor for 12 yards (tackle by Dennis Gardeck and Charles Washington),Andy Lee,53.0,Trent Taylor,12.0,Dennis Gardeck and Charles Washington,,,,,,,yards  yards (
Kevin Huber punts 53 yards returned by Desmond King for 7 yards (tackle by Jordan Evans and Cethan Carter),Kevin Huber,53.0,Desmond King,7.0,Jordan Evans and Cethan Carter,,,,,,,yards  yards (
Chris Jones punts 35 yards fair catch by Cooper Kupp at LA-17,Chris Jones,35.0,Cooper Kupp,,,,,,,LA-17,,yards
Jamie Gillan right end for -2 yards (tackle by L.J. Fort). Jamie Gillan fumbles (forced by L.J. Fort) recovered by Anthony Levine at CLE-27 and returned for 1 yard (tackle by KhaDarel Hodge),,,,,L.J. Fort,,,,,CLE-27 and returned for 1 yard (tackle by KhaDarel Hodge),,Jamie Gillan right end for -2 yards (. Jamie Gillan fumbles (forced by L.J. Fort) recovered by Anthony Levine
Tress Way punts 47 yards downed by Cam Sims,Tress Way,47.0,,,,,Cam Sims,,,,,yards
Matt Haack punts 58 yards touchback.,Matt Haack,58.0,,,,,,,,,touchback,yards .
Ty Long punts 51 yards returned by Alex Erickson for 7 yards (tackle by Rayshawn Jenkins). Penalty on Joe Reed: Player Out of Bounds on Kick 5 yards,Ty Long,51.0,Alex Erickson,7.0,Rayshawn Jenkins,Joe Reed,,,,,,yards  yards (.  Player Out of Bounds on Kick 5 yards
Logan Cooke punts 31 yards out of bounds,Logan Cooke,31.0,,,,,,,,,out of bounds,yards
Andy Lee punts 50 yards returned by Trent Taylor for 9 yards (tackle by Tanner Vallejo),Andy Lee,50.0,Trent Taylor,9.0,Tanner Vallejo,,,,,,,yards  yards (
Thomas Morstead punts 45 yards fair catch by Jaydon Mickens at TB-12,Thomas Morstead,45.0,Jaydon Mickens,,,,,,,TB-12,,yards
Kevin Huber punts 57 yards returned by Desmond King for no gain (tackle by Logan Wilson). Penalty on Nasir Adderley: Offensive Holding 5 yards,Kevin Huber,57.0,Desmond King,0.0,Logan Wilson,Nasir Adderley,,,,,,yards  (.  Offensive Holding 5 yards
Mitch Wishnowsky punts blocked by Zeke Turner recovered by Dennis Gardeck (tackle by Kyle Nelson),,,,,Kyle Nelson,,,Zeke Turner,Dennis Gardeck (,,,Mitch Wishnowsky punts
Bradley Pinion punts 43 yards fair catch by Deonte Harris at NO-36,Bradley Pinion,43.0,Deonte Harris,,,,,,,NO-36,,yards
Braden Mann punts 43 yards returned by Andre Roberts for no gain (tackle by Tarell Basham). Penalty on Gabriel Davis: Face Mask (15 Yards) 14 yards,Braden Mann,43.0,Andre Roberts,0.0,Tarell Basham,Gabriel Davis,,,,,,yards  (.  Face Mask (15 Yards) 14 yards
Ty Long punts 39 yards out of bounds,Ty Long,39.0,,,,,,,,,out of bounds,yards
Mitch Wishnowsky punts 46 yards fair catch by Christian Kirk at ARI-22,Mitch Wishnowsky,46.0,Christian Kirk,,,,,,,ARI-22,,yards
Tress Way punts 51 yards fair catch by Jalen Reagor at PHI-24,Tress Way,51.0,Jalen Reagor,,,,,,,PHI-24,,yards
Logan Cooke punts 52 yards fair catch by Isaiah Rodgers at IND-15,Logan Cooke,52.0,Isaiah Rodgers,,,,,,,IND-15,,yards
Andy Lee punts 47 yards returned by Dante Pettis for 8 yards (tackle by Zeke Turner),Andy Lee,47.0,Dante Pettis,8.0,Zeke Turner,,,,,,,yards  yards (
Penalty on NWE: Delay of Game (Declined),,,,,,NWE,,,,,,Delay of Game (Declined)
Jack Fox punts 54 yards downed by Christian Jones,Jack Fox,54.0,,,,,Christian Jones,,,,,yards
Jake Bailey punts 24 yards out of bounds,Jake Bailey,24.0,,,,,,,,,out of bounds,yards
Cameron Johnston punts 53 yards returned by Steven Sims for 2 yards (tackle by Rudy Ford),Cameron Johnston,53.0,Steven Sims,2.0,Rudy Ford,,,,,,,yards  yards (
Braden Mann punts 47 yards returned by Andre Roberts for 23 yards (tackle by Frankie Luvu and Thomas Hennessy),Braden Mann,47.0,Andre Roberts,23.0,Frankie Luvu and Thomas Hennessy,,,,,,,yards  yards (
Pat O'Donnell punts 33 yards fair catch by Jamal Agnew at DET-13,Pat O'Donnell,33.0,Jamal Agnew,,,,,,,DET-13,,yards
Britton Colquitt punts 40 yards returned by Tyler Ervin for no gain (tackle by Kris Boyd),Britton Colquitt,40.0,Tyler Ervin,0.0,Kris Boyd,,,,,,,yards  (
Jamie Gillan punts 59 yards downed by Tavierre Thomas,Jamie Gillan,59.0,,,,,Tavierre Thomas,,,,,yards
Michael Dickson punts 53 yards out of bounds,Michael Dickson,53.0,,,,,,,,,out of bounds,yards
Kevin Huber punts 51 yards touchback.,Kevin Huber,51.0,,,,,,,,,touchback,yards .
Jake Bailey punts 55 yards returned by Jakeem Grant for -3 yards (tackle by Cody Davis and Brandon Copeland),Jake Bailey,55.0,Jakeem Grant,-3.0,Cody Davis and Brandon Copeland,,,,,,,yards  yards (
Sterling Hofrichter punts 55 yards returned by David Moore for 15 yards (tackle by Olamide Zaccheaus),Sterling Hofrichter,55.0,David Moore,15.0,Olamide Zaccheaus,,,,,,,yards  yards (
Tress Way punts 48 yards returned by Greg Ward for 8 yards (tackle by Cole Holcomb),Tress Way,48.0,Greg Ward,8.0,Cole Holcomb,,,,,,,yards  yards (
Michael Dickson punts 44 yards fair catch by Brandon Powell at ATL-11,Michael Dickson,44.0,Brandon Powell,,,,,,,ATL-11,,yards
Cameron Johnston punts 51 yards muffed catch by Steven Sims recovered by Steven Sims at WAS-27 returned by Steven Sims for no gain (tackle by Rudy Ford),Cameron Johnston,51.0,Steven Sims,0.0,Rudy Ford,,,,,WAS-27  (,,yards muffed catch by Steven Sims recovered by Steven Sims
Mitch Wishnowsky punts 30 yards returned by Christian Kirk for 8 yards (tackle by Ross Dwelley),Mitch Wishnowsky,30.0,Christian Kirk,8.0,Ross Dwelley,,,,,,,yards  yards (
Kevin Huber punts 55 yards touchback.,Kevin Huber,55.0,,,,,,,,,touchback,yards .
Tress Way punts 43 yards downed by Khaleke Hudson,Tress Way,43.0,,,,,Khaleke Hudson,,,,,yards
Sterling Hofrichter punts 45 yards fair catch by David Moore at SEA-40,Sterling Hofrichter,45.0,David Moore,,,,,,,SEA-40,,yards
Jack Fox punts 55 yards fair catch by Tarik Cohen at CHI-11,Jack Fox,55.0,Tarik Cohen,,,,,,,CHI-11,,yards
Michael Dickson punts 46 yards fair catch by Brandon Powell at ATL-9,Michael Dickson,46.0,Brandon Powell,,,,,,,ATL-9,,yards
Pat O'Donnell punts 55 yards returned by Jamal Agnew for 16 yards (tackle by DeAndre Houston-Carson). Penalty on Cordarrelle Patterson: Player Out of Bounds on Kick 5 yards,Pat O'Donnell,55.0,Jamal Agnew,16.0,DeAndre Houston-Carson,Cordarrelle Patterson,,,,,,yards  yards (.  Player Out of Bounds on Kick 5 yards
Bradley Pinion punts 50 yards returned by Deonte Harris for 18 yards (tackle by Jamel Dean),Bradley Pinion,50.0,Deonte Harris,18.0,Jamel Dean,,,,,,,yards  yards (
Kevin Huber punts 44 yards fair catch by Desmond King at LAC-14,Kevin Huber,44.0,Desmond King,,,,,,,LAC-14,,yards
Cameron Johnston punts 59 yards returned by Steven Sims for no gain (tackle by Marcus Epps),Cameron Johnston,59.0,Steven Sims,0.0,Marcus Epps,,,,,,,yards  (
Joseph Charlton punts 60 yards returned by Hunter Renfrow for 27 yards (tackle by Julian Stanford and Adarius Taylor),Joseph Charlton,60.0,Hunter Renfrow,27.0,Julian Stanford and Adarius Taylor,,,,,,,yards  yards (
Britton Colquitt punts 40 yards fair catch by Tyler Ervin at GB-9,Britton Colquitt,40.0,Tyler Ervin,,,,,,,GB-9,,yards
Matt Haack punts 49 yards fair catch by Damiere Byrd at NE-21,Matt Haack,49.0,Damiere Byrd,,,,,,,NE-21,,yards
Logan Cooke punts 53 yards downed by Chris Claybrooks,Logan Cooke,53.0,,,,,Chris Claybrooks,,,,,yards
Cameron Johnston punts 62 yards returned by Steven Sims for 11 yards (tackle by Rudy Ford),Cameron Johnston,62.0,Steven Sims,11.0,Rudy Ford,,,,,,,yards  yards (
Sam Koch punts 49 yards returned by Jojo Natson for 1 yard,Sam Koch,49.0,Jojo Natson,1.0,,,,,,,,yards  yard
Tress Way punts 49 yards fair catch by Jalen Reagor at PHI-45,Tress Way,49.0,Jalen Reagor,,,,,,,PHI-45,,yards
JK Scott punts 40 yards out of bounds,JK Scott,40.0,,,,,,,,,out of bounds,yards
Joseph Charlton punts 60 yards returned by Hunter Renfrow for 10 yards (tackle by Trenton Cannon). Penalty on Trenton Cannon: Unsportsmanlike Conduct 15 yards,Joseph Charlton,60.0,Hunter Renfrow,10.0,Trenton Cannon,Trenton Cannon,,,,,,yards  yards (.  Unsportsmanlike Conduct 15 yards
Corey Bojorquez punts 53 yards fair catch by Braxton Berrios at NYJ-22,Corey Bojorquez,53.0,Braxton Berrios,,,,,,,NYJ-22,,yards
Chris Jones punts 32 yards fair catch by Cooper Kupp at LA-15,Chris Jones,32.0,Cooper Kupp,,,,,,,LA-15,,yards
Jamie Gillan punts 37 yards returned by James Proche for 17 yards (tackle by Tae Davis). Penalty on Tavierre Thomas: Face Mask (15 Yards) 15 yards,Jamie Gillan,37.0,James Proche,17.0,Tae Davis,Tavierre Thomas,,,,,,yards  yards (.  Face Mask (15 Yards) 15 yards
Thomas Morstead punts 40 yards fair catch by Jaydon Mickens at TB-14,Thomas Morstead,40.0,Jaydon Mickens,,,,,,,TB-14,,yards
Pat O'Donnell punts 42 yards fair catch by Jamal Agnew at DET-10,Pat O'Donnell,42.0,Jamal Agnew,,,,,,,DET-10,,yards
Braden Mann punts 48 yards returned by Andre Roberts for 19 yards (tackle by Neville Hewitt),Braden Mann,48.0,Andre Roberts,19.0,Neville Hewitt,,,,,,,yards  yards (
Mitch Wishnowsky punts 51 yards returned by Christian Kirk for no gain,Mitch Wishnowsky,51.0,Christian Kirk,0.0,,,,,,,,yards
Bradley Pinion punts 38 yards returned by Deonte Harris for 16 yards (tackle by Jamel Dean),Bradley Pinion,38.0,Deonte Harris,16.0,Jamel Dean,,,,,,,yards  yards (
Ty Long punts 63 yards returned by Alex Erickson for 22 yards (tackle by Desmond King),Ty Long,63.0,Alex Erickson,22.0,Desmond King,,,,,,,yards  yards (
Tress Way punts 56 yards downed by Danny Johnson. Penalty on Danny Johnson: Illegal Touch Kick 5 yards (no play),Tress Way,56.0,,,,Danny Johnson,Danny Johnson.  Illegal Touch Kick 5 yards (no play),,,,,yards
Thomas Morstead punts 39 yards fair catch by Jaydon Mickens at TB-11,Thomas Morstead,39.0,Jaydon Mickens,,,,,,,TB-11,,yards
Tress Way punts 51 yards returned by Jalen Reagor for 6 yards (tackle by Deshazor Everett). Penalty on Davion Taylor: Illegal Block Above the Waist 10 yards,Tress Way,51.0,Jalen Reagor,6.0,Deshazor Everett,Davion Taylor,,,,,,yards  yards (.  Illegal Block Above the Waist 10 yards
Sharrod Neasman right guard for 2 yards (tackle by Marquise Blair). Sharrod Neasman fumbles (forced by Marquise Blair) recovered by Freddie Swain at ATL-36 (tackle by LaRoy Reynolds),,,,,Marquise Blair,,,,,ATL-36 (tackle by LaRoy Reynolds),,Sharrod Neasman right guard for 2 yards (. Sharrod Neasman fumbles (forced by Marquise Blair) recovered by Freddie Swain
Andy Lee punts 41 yards downed by Trent Sherfield,Andy Lee,41.0,,,,,Trent Sherfield,,,,,yards
Chris Jones punts 35 yards fair catch by Cooper Kupp at LA-27,Chris Jones,35.0,Cooper Kupp,,,,,,,LA-27,,yards
Mitch Wishnowsky punts 51 yards out of bounds,Mitch Wishnowsky,51.0,,,,,,,,,out of bounds,yards
Sam Koch punts 37 yards downed by Nick Boyle,Sam Koch,37.0,,,,,Nick Boyle,,,,,yards
Thomas Morstead punts 50 yards downed by Justin Hardee,Thomas Morstead,50.0,,,,,Justin Hardee,,,,,yards
AJ Cole punts 51 yards returned by Pharoh Cooper for 10 yards (tackle by Alec Ingold),AJ Cole,51.0,Pharoh Cooper,10.0,Alec Ingold,,,,,,,yards  yards (
Bradley Pinion punts 59 yards returned by Deonte Harris for 18 yards (tackle by Jamel Dean),Bradley Pinion,59.0,Deonte Harris,18.0,Jamel Dean,,,,,,,yards  yards (
Penalty on Justin Hollins: False Start 5 yards (no play),,,,,,Justin Hollins,,,,,,False Start 5 yards (no play)
Johnny Hekker punts 58 yards returned by CeeDee Lamb for 20 yards (tackle by Nsimba Webster),Johnny Hekker,58.0,CeeDee Lamb,20.0,Nsimba Webster,,,,,,,yards  yards (
Cameron Johnston punts 43 yards returned by Steven Sims for 4 yards,Cameron Johnston,43.0,Steven Sims,4.0,,,,,,,,yards  yards
Penalty on DET: Delay of Game 5 yards (no play),,,,,,DET,,,,,,Delay of Game 5 yards (no play)
Jack Fox punts 35 yards out of bounds,Jack Fox,35.0,,,,,,,,,out of bounds,yards
Pat O'Donnell punts 38 yards downed by Barkevious Mingo,Pat O'Donnell,38.0,,,,,Barkevious Mingo,,,,,yards
Penalty on Morgan Cox: False Start 5 yards (no play),,,,,,Morgan Cox,,,,,,False Start 5 yards (no play)
Sam Koch punts 39 yards out of bounds,Sam Koch,39.0,,,,,,,,,out of bounds,yards
Braden Mann punts 37 yards fair catch by Andre Roberts at BUF-36,Braden Mann,37.0,Andre Roberts,,,,,,,BUF-36,,yards
Bradley Pinion punts 46 yards returned by Deonte Harris for 7 yards (tackle by Jack Cichy and Justin Watson),Bradley Pinion,46.0,Deonte Harris,7.0,Jack Cichy and Justin Watson,,,,,,,yards  yards (
Johnny Hekker punts 42 yards fair catch by CeeDee Lamb at DAL-12,Johnny Hekker,42.0,CeeDee Lamb,,,,,,,DAL-12,,yards
Thomas Morstead punts 51 yards returned by Jaydon Mickens for no gain (tackle by Justin Hardee),Thomas Morstead,51.0,Jaydon Mickens,0.0,Justin Hardee,,,,,,,yards  (
AJ Cole punts 24 yards out of bounds,AJ Cole,24.0,,,,,,,,,out of bounds,yards
Michael Dickson punts 48 yards returned by Brandon Powell for 8 yards (tackle by Ugo Amadi),Michael Dickson,48.0,Brandon Powell,8.0,Ugo Amadi,,,,,,,yards  yards (
Jamie Gillan punts 41 yards returned by James Proche for 9 yards (tackle by Robert Jackson),Jamie Gillan,41.0,James Proche,9.0,Robert Jackson,,,,,,,yards  yards (
Ty Long punts 49 yards out of bounds,Ty Long,49.0,,,,,,,,,out of bounds,yards
Chris Jones punts 54 yards fair catch by Cooper Kupp at LA-29,Chris Jones,54.0,Cooper Kupp,,,,,,,LA-29,,yards
Johnny Hekker punts 42 yards fair catch by Cedrick Wilson at DAL-9,Johnny Hekker,42.0,Cedrick Wilson,,,,,,,DAL-9,,yards
Bryan Anger punts 40 yards out of bounds,Bryan Anger,40.0,,,,,,,,,out of bounds,yards
Tommy Townsend punts 44 yards touchback.,Tommy Townsend,44.0,,,,,,,,,touchback,yards .
Bryan Anger punts 41 yards fair catch by Mecole Hardman at KC-9,Bryan Anger,41.0,Mecole Hardman,,,,,,,KC-9,,yards
Bryan Anger punts 42 yards fair catch by Mecole Hardman at KC-10,Bryan Anger,42.0,Mecole Hardman,,,,,,,KC-10,,yards
Tommy Townsend punts 38 yards downed by Byron Pringle,Tommy Townsend,38.0,,,,,Byron Pringle,,,,,yards
Tommy Townsend punts 54 yards returned by DeAndre Carter for 19 yards (tackle by Dorian O'Daniel),Tommy Townsend,54.0,DeAndre Carter,19.0,Dorian O'Daniel,,,,,,,yards  yards (
Penalty on Dan Arnold: False Start 5 yards (no play),,,,,,Dan Arnold,,,,,,False Start 5 yards (no play)
Corey Bojorquez punts 59 yards returned by Mecole Hardman for 2 yards (tackle by Siran Neal and Dean Marlowe),Corey Bojorquez,59.0,Mecole Hardman,2.0,Siran Neal and Dean Marlowe,,,,,,,yards  yards (
Andy Lee punts 49 yards returned by CeeDee Lamb for 1 yard (tackle by Trent Sherfield),Andy Lee,49.0,CeeDee Lamb,1.0,Trent Sherfield,,,,,,,yards  yard (
Chris Jones punts 44 yards fair catch by Christian Kirk at ARI-24,Chris Jones,44.0,Christian Kirk,,,,,,,ARI-24,,yards
Tommy Townsend punts 42 yards returned by Andre Roberts for 24 yards (tackle by Damien Wilson),Tommy Townsend,42.0,Andre Roberts,24.0,Damien Wilson,,,,,,,yards  yards (
Andy Lee punts 30 yards downed by Chris Banjo,Andy Lee,30.0,,,,,Chris Banjo,,,,,yards
Chris Jones punts 41 yards returned by Christian Kirk for -1 yards (tackle by C.J. Goodwin),Chris Jones,41.0,Christian Kirk,-1.0,C.J. Goodwin,,,,,,,yards  yards (
Andy Lee punts 39 yards muffed catch by CeeDee Lamb recovered by CeeDee Lamb at DAL-26 returned by CeeDee Lamb for no gain,Andy Lee,39.0,CeeDee Lamb,0.0,,,,,,DAL-26 ,,yards muffed catch by CeeDee Lamb recovered by CeeDee Lamb
Chris Jones punts 45 yards touchback.,Chris Jones,45.0,,,,,,,,,touchback,yards .
Corey Bojorquez punts 44 yards fair catch by Mecole Hardman at KC-10,Corey Bojorquez,44.0,Mecole Hardman,,,,,,,KC-10,,yards
Tommy Townsend punts 38 yards fair catch by Andre Roberts at BUF-13,Tommy Townsend,38.0,Andre Roberts,,,,,,,BUF-13,,yards
Corey Bojorquez punts 52 yards downed by Taiwan Jones,Corey Bojorquez,52.0,,,,,Taiwan Jones,,,,,yards
Corey Bojorquez punts 58 yards returned by Mecole Hardman for no gain (tackle by Jaquan Johnson). Penalty on Thakarius Keyes: Offensive Holding 6 yards,Corey Bojorquez,58.0,Mecole Hardman,0.0,Jaquan Johnson,Thakarius Keyes,,,,,,yards  (.  Offensive Holding 6 yards
Andy Lee punts 33 yards downed by Dennis Gardeck,Andy Lee,33.0,,,,,Dennis Gardeck,,,,,yards
Braden Mann punts 50 yards returned by Jakeem Grant for 16 yards (tackle by Blake Cashman),Braden Mann,50.0,Jakeem Grant,16.0,Blake Cashman,,,,,,,yards  yards (
Cameron Johnston punts 45 yards returned by James Proche for 10 yards (tackle by Nathan Gerry),Cameron Johnston,45.0,James Proche,10.0,Nathan Gerry,,,,,,,yards  yards (
Logan Cooke punts 29 yards out of bounds,Logan Cooke,29.0,,,,,,,,,out of bounds,yards
Brett Kern punts 54 yards returned by DeAndre Carter for no gain,Brett Kern,54.0,DeAndre Carter,0.0,,,,,,,,yards
Matt Haack punts 44 yards fair catch by Braxton Berrios at NYJ-15. Penalty on Vyncint Smith: Offensive Holding 7 yards,Matt Haack,44.0,Braxton Berrios,,,,,,,NYJ-15. Penalty on Vyncint Smith: Offensive Holding 7 yards,,yards
Britton Colquitt punts 49 yards fair catch by Brandon Powell at ATL-14,Britton Colquitt,49.0,Brandon Powell,,,,,,,ATL-14,,yards
Braden Mann punts 54 yards returned by Jakeem Grant for 1 yard (tackle by Thomas Hennessy),Braden Mann,54.0,Jakeem Grant,1.0,Thomas Hennessy,,,,,,,yards  yard (
Bryan Anger punts 56 yards touchback.,Bryan Anger,56.0,,,,,,,,,touchback,yards .
Johnny Hekker punts 46 yards out of bounds,Johnny Hekker,46.0,,,,,,,,,out of bounds,yards
Bradley Pinion punts 46 yards out of bounds,Bradley Pinion,46.0,,,,,,,,,out of bounds,yards
Rigoberto Sanchez punts 51 yards returned by Alex Erickson for 7 yards (tackle by Ashton Dulin and George Odum),Rigoberto Sanchez,51.0,Alex Erickson,7.0,Ashton Dulin and George Odum,,,,,,,yards  yards (
Jamie Gillan punts 43 yards returned by Ray-Ray McCloud for 4 yards (tackle by Charley Hughlett),Jamie Gillan,43.0,Ray-Ray McCloud,4.0,Charley Hughlett,,,,,,,yards  yards (
Cameron Johnston punts 43 yards out of bounds,Cameron Johnston,43.0,,,,,,,,,out of bounds,yards
